HDD,RAM,RAM_frequincy,RAM_type,SSD,anti_glare,brand,cpu_brand,cpu_family,cpu_frequincy,cpu_modifier,cpu_number_identifier,gpu_brand,gpu_frequincy,gpu_number_modifier,gpu_vram,gpu_words_modifier,prix,screen_refresh_rate,screen_resolution,screen_size,state,touch_screen
0,24,2666,ddr4,512,1,asus,intel,h,2.3,i5,8300,nvidia,0,1650,4,geforce gtx,162000,60,fhd,15.6,used,0
0,16,2700,ddr4,512,1,msi,intel,h,2.6,i7,9750,nvidia,0,2060,6,geforce rtx,247000,120,fhd,15.6,used,0
0,8,2133,ddr4,256,1,fujitsu,intel,u,2.7,i5,7200,0,0,0,0,0,72000,60,hd,15.6,used,0
500,16,0,ddr4,128,1,lenovo,intel,hq,2.5,i5,7300,nvidia,0,1060,6,geforce gtx,148000,60,fhd,15.6,used,0
1000,8,2666,ddr4,256,1,asus,intel,hq,2.5,i5,7300,nvidia,0,1050,2,gtx,125000,60,fhd,15.6,used,0
1000,8,0,ddr4,0,0,hp,intel,u,1.8,i5,8850,nvidia,0,1050,2,gtx,114000,60,fhd,15.6,used,0
0,12,2666,ddr4,1000,0,hp,intel,hq,2.6,i5,7300,nvidia,0,1050,2,geforce gtx,140000,60,fhd,17.3,used,0
1000,20,2666,ddr4,512,1,acer,intel,h,2.6,i7,9750,nvidia,0,2060,6,geforce rtx,260000,144,fhd,17.3,used,0
0,16,0,ddr4,512,1,dell,intel,h,4.1,i7,8750,nvidia,0,2080,8,geforce rtx,289000,60,4k,15.6,used,0
1000,24,0,ddr4,256,1,acer,intel,hq,2.8,i7,7700,nvidia,0,1070,8,geforce gtx,200000,60,fhd,17.3,used,0
1000,16,2666,ddr4,256,1,asus,intel,h,2.2,i7,8750,nvidia,0,1050,4,geforce gtx,165000,60,fhd,15.6,used,0
1000,16,2933,ddr4,512,1,acer,intel,h,2.5,i5,10300,nvidia,0,3060,6,geforce rtx,255000,144,fhd,15.6,used,0
0,24,0,ddr4,1500,1,msi,intel,h,2.6,i7,9750,nvidia,0,2060,6,geforce rtx,258000,120,fhd,15.6,used,0
1000,20,2666,ddr4,256,1,asus,intel,h,2.2,i7,8750,nvidia,0,1050,4,geforce gtx,165000,60,fhd,15.6,used,0
